NOC #,Major Occupation Group,Occupation ,Proportion of tasks that can be automated (McKinsey & Company)," Average Income, 2011 ","Employed Canadian Labour Force, 2011",Probability of automation in the next 10-20 years (Frey and Osborne),Level of Education
1313,"Finance, insurance and related business administrative occupations",Insurance underwriters,35.0%," $ 56,109 ","13,850",99.0%,B
1422,Office support occupations,Data entry clerks,86.0%," $ 27,846 ","43,285",99.0%,C
5211,"Technical occupations in art, culture, recreation and sport",Library and public archive technicians,59.0%," $ 34,286 ","10,725",99.0%,B
7534,Transport and heavy equipment operation and related maintenance occupations,Air transport ramp attendants,68.0%," $ 33,333 ","7,960",99.0%,C
9472,Processing and manufacturing machine operators and related production workers,"Camera, platemaking and other prepress occupations",100.0%," $ 41,218 ","4,215",99.0%,C
9474,Processing and manufacturing machine operators and related production workers,Photographic and film processors,97.0%," $ 23,511 ","4,850",99.0%,C
1311,"Finance, insurance and related business administrative occupations",Accounting technicians and bookkeepers,86.0%," $ 33,573 ","134,090",98.0%,B
1312,"Finance, insurance and related business administrative occupations",Insurance adjusters and claims examiners,81.0%," $ 55,564 ","25,340",98.0%,B
1315,"Finance, insurance and related business administrative occupations","Customs, ship and other brokers",79.0%," $ 49,912 ","4,760",98.0%,B
1431,Office support occupations,Accounting and related clerks,86.0%," $ 35,410 ","142,445",98.0%,C
1434,Office support occupations,"Banking, insurance and other financial clerks",81.0%," $ 43,734 ","30,985",98.0%,C
1521,"Distribution, tracking and scheduling co-ordination occupations",Shippers and receivers,79.0%," $ 31,103 ","116,090",98.0%,C
5253,"Technical occupations in art, culture, recreation and sport",Sports officials and referees,13.0%," $ 4,329 ","3,035",98.0%,B
9415,Processing and manufacturing machine operators and related production workers,"Inspectors and testers, mineral and metal processing",65.0%," $ 45,784 ","2,825",98.0%,C
9447,Processing and manufacturing machine operators and related production workers,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",65.0%," $ 27,015 ","3,295",98.0%,C
9465,Processing and manufacturing machine operators and related production workers,"Testers and graders, food, beverage and associated products processing",65.0%," $ 32,866 ","4,095",98.0%,C
9525,Assemblers in manufacturing,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",71.0%," $ 37,213 ","2,925",97.5%,C
1432,Office support occupations,Payroll clerks,87.0%," $ 43,562 ","33,935",97.0%,C
3223,Technical occupations in health,"Dental technologists, technicians and laboratory assistants",97.0%," $ 44,310 ","7,165",97.0%,B
6511,Service representatives and other customer and personal services occupations,Maître d'hôtel and hosts/hostesses,65.0%," $ 8,714 ","21,915",97.0%,C
6611,Sales support occupations,Cashiers,49.0%," $ 11,716 ","308,945",97.0%,D
9434,Processing and manufacturing machine operators and related production workers,Other wood processing machine operators,94.0%," $ 40,873 ","4,395",97.0%,C
9436,Processing and manufacturing machine operators and related production workers,Lumber graders and other wood processing inspectors and graders,74.0%," $ 42,090 ","3,900",97.0%,C
9437,Processing and manufacturing machine operators and related production workers,Woodworking machine operators,94.0%," $ 29,597 ","4,795",97.0%,C
9471,Processing and manufacturing machine operators and related production workers,Plateless printing equipment operators,86.0%," $ 35,722 ","12,210",97.0%,C
9523,Assemblers in manufacturing,"Electronics assemblers, fabricators, inspectors and testers",64.5%," $ 29,665 ","16,535",96.5%,C
9524,Assemblers in manufacturing,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",64.5%," $ 33,022 ","10,870",96.5%,C
9527,Assemblers in manufacturing,"Machine operators and inspectors, electrical apparatus manufacturing",64.5%," $ 36,194 ","2,140",96.5%,C
1221,Administrative and financial supervisors and administrative occupations,Administrative officers,54.0%," $ 45,404 ","246,875",96.0%,B
1241,Administrative and financial supervisors and administrative occupations,Administrative assistants,54.0%," $ 32,691 ","328,825",96.0%,B
1411,Office support occupations,General office support workers,61.0%," $ 31,173 ","218,825",96.0%,C
1414,Office support occupations,Receptionists,53.0%," $ 22,390 ","155,355",96.0%,C
1525,"Distribution, tracking and scheduling co-ordination occupations",Dispatchers,40.0%," $ 43,874 ","34,160",96.0%,C
1526,"Distribution, tracking and scheduling co-ordination occupations",Transportation route and crew schedulers,40.0%," $ 47,780 ","5,090",96.0%,C
2254,Technical occupations related to natural and applied sciences,Land survey technologists and technicians,61.0%," $ 39,382 ","4,665",96.0%,B
9535,Assemblers in manufacturing,"Plastic products assemblers, finishers and inspectors",77.0%," $ 30,616 ","8,720",95.5%,C
1253,Administrative and financial supervisors and administrative occupations,Records management technicians,75.0%," $ 45,395 ","7,855",95.0%,B
1451,Office support occupations,Library assistants and clerks,80.0%," $ 21,955 ","17,200",95.0%,C
2225,Technical occupations related to natural and applied sciences,Landscape and horticulture technicians and specialists,9.0%," $ 30,470 ","16,685",95.0%,B
6344,Service supervisors and specialized service occupations,"Jewelers, jewelry and watch repairers and related occupations",88.0%," $ 25,435 ","5,300",95.0%,B
8612,"Harvesting, landscaping and natural resources labourers",Landscaping and grounds maintenance labourers,9.0%," $ 16,849 ","92,655",95.0%,D
9441,Processing and manufacturing machine operators and related production workers,"Textile fiber and yarn, hide and pelt processing machine operators and workers",86.0%," $ 28,378 ","2,870",95.0%,C
9445,Processing and manufacturing machine operators and related production workers,"Fabric, fur and leather cutters",86.0%," $ 23,413 ","2,720",95.0%,C
9473,Processing and manufacturing machine operators and related production workers,Binding and finishing machine operators,87.0%," $ 29,053 ","7,245",95.0%,C
9532,Assemblers in manufacturing,Furniture and fixture assemblers and inspectors,68.5%," $ 26,357 ","18,245",95.0%,C
9533,Assemblers in manufacturing,Other wood products assemblers and inspectors,68.5%," $ 29,926 ","10,400",95.0%,C
1111,Professional occupations in business and finance,Financial auditors and accountants,12.0%," $ 69,455 ","203,470",94.0%,A
1242,Administrative and financial supervisors and administrative occupations,legal administrative assistants,69.0%," $ 39,496 ","37,485",94.0%,B
1513,"Distribution, tracking and scheduling co-ordination occupations","Couriers, messengers and door-to-door distributors",39.0%," $ 19,846 ","27,520",94.0%,C
2222,Technical occupations related to natural and applied sciences,Agricultural and fish products inspectors,21.0%," $ 48,108 ","5,165",94.0%,B
4211,"Paraprofessional occupations in legal, social, community and education services",Paralegal and related occupations,69.0%," $ 43,955 ","25,950",94.0%,B
6312,Retail sales supervisors and specialized sales occupations,Executive housekeepers,60.0%," $ 31,685 ","3,685",94.0%,B
6315,Service supervisors and specialized service occupations,Cleaning supervisors,60.0%," $ 40,669 ","9,655",94.0%,B
6513,Service representatives and other customer and personal services occupations,Food and beverage servers,64.0%," $ 13,335 ","180,605",94.0%,C
6525,Service representatives and other customer and personal services occupations,Hotel front desk clerks,59.0%," $ 20,732 ","22,880",94.0%,C
7237,"Industrial, electrical and construction trades",Welders and related machine operators,93.0%," $ 45,726 ","89,240",94.0%,B
7282,"Industrial, electrical and construction trades",Concrete finishers,86.0%," $ 38,759 ","10,125",94.0%,B
1435,Office support occupations,Collectors,34.0%," $ 34,539 ","14,555",93.0%,C
6331,Service supervisors and specialized service occupations,"Butchers, meat cutters and fishmongers- retail and wholesale",93.0%," $ 27,076 ","20,570",93.0%,B
7335,Maintenance and equipment operation trades,Other small engine and small equipment repairers,92.0%," $ 29,345 ","3,480",93.0%,B
